prn,displayName,role,department,email,tempPassword,mustChangePassword
1012412071,Tiya Bhavsar,student,Computer Science,1012412071@despu.edu.in,password123,true
1012412072,Student Two,student,Computer Science,1012412072@despu.edu.in,password123,true
1012412073,Student Three,student,Computer Science,1012412073@despu.edu.in,password123,true
1012412074,Student Four,student,Computer Science,1012412074@despu.edu.in,password123,true
1012412075,Student Five,student,Computer Science,1012412075@despu.edu.in,password123,true
1012412076,Student Six,student,Computer Science,1012412076@despu.edu.in,password123,true
1012412077,Student Seven,student,Computer Science,1012412077@despu.edu.in,password123,true
1012412078,Student Eight,student,Computer Science,1012412078@despu.edu.in,password123,true
1012412079,Student Nine,student,Computer Science,1012412079@despu.edu.in,password123,true
1012412080,Student Ten,student,Computer Science,1012412080@despu.edu.in,password123,true
